request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_fe48267b6fad28a7,mol_iellyklbfueior-uhfffaoysa-n,FC#CC(F)=C(C(F)(F)F)C(F)(F)F,FC#CC(F)=C(C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_ca69ffcab90ede716048 priority_score=0.756667; completed quantum pilot results already ingested
qreq_01194a8306db4cd1,mol_jspbhvrotigmqr-uhfffaoysa-n,FC(F)=C(F)C#CC(F)(F)C(F)(F)F,FC(F)=C(F)C#CC(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_f431d92498943443466b priority_score=0.756667; completed quantum pilot results already ingested
qreq_0b0c02ca08766832,mol_kopmuszlextodj-uhfffaoysa-n,N#CC(Cl)=C(Cl)[S+]([O-])C(Cl)=C(Cl)C#N,N#CC(Cl)=C(Cl)[S+]([O-])C(Cl)=C(Cl)C#N,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_8311243ac85a89ffd3ed priority_score=0.756667; completed quantum pilot results already ingested
qreq_35e4987e0c88492f,mol_mkfhrrnhgrgcnz-uhfffaoysa-n,FC#CC(F)(F)C(F)=C(F)C(F)(F)F,FC#CC(F)(F)C(F)=C(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_f0ef081a9501d1bd8fb1 priority_score=0.756667; completed quantum pilot results already ingested
qreq_25ae788ab7ba4b88,mol_otgpfjginrlolj-uhfffaoysa-n,FC#CC(=C(F)C(F)(F)F)C(F)(F)F,FC#CC(=C(F)C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_651b96c1431ddbefaf93 priority_score=0.756667; completed quantum pilot results already ingested
qreq_69f6f154e4289bfc,mol_qmzxanzzwkitil-uhfffaoysa-n,FC#CC(F)=C(F)C(F)(F)C(F)(F)F,FC#CC(F)=C(F)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_d63122f8093b4c241dd3 priority_score=0.756667; completed quantum pilot results already ingested
qreq_7bbdaa8bf2d5018a,mol_qouktnvsykewrr-uhfffaoysa-n,FC(F)=C(C#CC(F)(F)F)C(F)(F)F,FC(F)=C(C#CC(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_0dc41f2c43b445565982 priority_score=0.756667; completed quantum pilot results already ingested
qreq_a788e8de24dbdf9c,mol_sfxzglqqvgjfcl-uhfffaoysa-n,FC#CC(F)(F)C(F)(F)C(F)=C(F)F,FC#CC(F)(F)C(F)(F)C(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_0e11a2283b5f46ecebf3 priority_score=0.756667; completed quantum pilot results already ingested
qreq_4e59e03396d66deb,mol_znodtqftecxqtg-uhfffaoysa-n,FC(F)=C(F)C(F)(F)C#CC(F)(F)F,FC(F)=C(F)C(F)(F)C#CC(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_53ec9a4d47af03e1206d priority_score=0.756667; completed quantum pilot results already ingested
qreq_5be53a54f6abd7f7,mol_ccwmseyzdvfkmw-uhfffaoysa-n,O=C(F)C(F)(F)C(F)(F)OC(F)=C(F)F,O=C(F)C(F)(F)C(F)(F)OC(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_e1a306eaa114fbb4ab85 priority_score=0.756333; completed quantum pilot results already ingested
