name,property_code,property_name_candidate,value,value_num,unit,source_sheet,match_status,next_action,notes
"Butane,1-Chloro-3-Methyl-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,36.24,36.24,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
METHYL-VINYL-ETHER,omega,acentric_factor,0.2416,0.2416,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2,3,3-hexafluoro-1-methoxypropane",Tb_K,boiling_point_c,67.79,67.79000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Difluoroaminopropane",Tc_K,critical_temp_c,145.85,145.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Difluoroaminopropane",Pc_MPa,critical_pressure_mpa,3.53466,3.53466,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
1-Chloropentane,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,38.24,38.24,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Difluorobenzene",Tc_K,critical_temp_c,292.85,292.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Difluorobenzene",Pc_MPa,critical_pressure_mpa,4.274,4.274,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrachlorodifluoroethane",Tb_K,boiling_point_c,93,93.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
Trioxane,omega,acentric_factor,0.3337,0.3337,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrachloroethane",Tb_K,boiling_point_c,146.5,146.5,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Pentadiene",Tc_K,critical_temp_c,226.85,226.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Pentadiene",Pc_MPa,critical_pressure_mpa,3.799,3.799,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Propane, 2-Chloro-",omega,acentric_factor,0.1986,0.1986,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",Tb_K,boiling_point_c,56.17,56.170000000000016,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,3,3,3-Tetrafluoropropene",Tc_K,critical_temp_c,150.12,150.12,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,3,3,3-Tetrafluoropropene",Pc_MPa,critical_pressure_mpa,3.533,3.533,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
METHYL-T-BUTYL-SULFIDE,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,35.84,35.84,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Propane, 1-Chloro-",omega,acentric_factor,0.2277,0.2277,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,3-CYCLOBUTADIENE",Tc_K,critical_temp_c,202.85,202.85000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,3-CYCLOBUTADIENE",Pc_MPa,critical_pressure_mpa,5.14019,5.14019,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Propane,2-(Ethylthio)-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,37.78,37.78,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2-Tetrafluoropropane",Tb_K,boiling_point_c,-0.78,-0.7799999999999727,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,3-Dichloropropane",Tc_K,critical_temp_c,329.85,329.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
