mol_id,seed_id,r_number,canonical_smiles,coverage_tier,entity_scope,property_name,canonical_feature_key,missing_feature_key,recommended_action,priority
mol_cscppacgzoocgx-uhfffaoysa-n,seed_acetone,,CC(C)=O,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_fdmfuzhcirhgrg-uhfffaoysa-n,seed_r1243zf,R-1243zf,C=CC(F)(F)F,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_gqplmrytrlflpf-uhfffaoysa-n,seed_nitrousoxide,R-744A,[N-]=[N+]=O,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_iaqrguvfomomem-arjawskdsa-n,seed_cis_2_butene,,CC=CC,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_iaqrguvfomomem-onegzznksa-n,seed_trans_2_butene,,CC=CC,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_jjwkpuradfrfrb-uhfffaoysa-n,seed_carbonylsulfide,,O=C=S,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_jrhmnrmpvrxnos-uhfffaoysa-n,seed_hfe143m,,COC(F)(F)F,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_lcglnkutagevqw-uhfffaoysa-n,seed_dimethylether,,COC,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_lvzwsljzhvfiqj-uhfffaoysa-n,seed_cyclopropane,,C1CC1,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_mwwathdpgqksar-uhfffaoysa-n,seed_propyne,,C#CC,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
